value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.74025974;True;gini;85;log2;601;0.00025366;0.00363047;174;0;0
0.772727273;True;log_loss;11;;84;0.282284503;0.00093101;207;0;0
0.753246753;True;log_loss;77;sqrt;746;0.000156752;0.004462198;836;0;0
0.753246753;False;log_loss;78;sqrt;477;0.137486112;0.002280172;979;0;0
0.753246753;True;log_loss;7;log2;532;0.001223484;0.00613832;331;0;0
0.75974026;False;entropy;33;sqrt;925;0.000261708;0.13280888;38;0;0
0.753246753;True;gini;47;log2;59;0.000259501;0.09840878;456;0;0
0.75974026;True;log_loss;63;sqrt;406;0.005968837;0.007532669;965;0;0
0.75974026;True;log_loss;48;;675;0.123841932;0.022033374;421;0;0
0.766233766;True;entropy;50;;650;0.05507614;0.000165066;856;0;0
0.766233766;False;entropy;70;log2;28;0.008788611;0.001956887;765;0;0
0.772727273;True;log_loss;99;log2;790;0.039207337;0.004984853;911;0;0
0.753246753;True;log_loss;93;;642;0.00864951;0.581733823;868;0;0
0.746753247;False;gini;23;log2;222;0.147907812;0.003453501;320;0;0
0.746753247;True;log_loss;85;sqrt;336;0.00140136;0.001285527;561;0;0
0.753246753;False;gini;26;;436;0.386552247;0.004096481;485;0;0
0.642857143;True;entropy;15;;276;0.111171877;0.979024154;684;0;0
0.74025974;False;gini;63;sqrt;419;0.002312576;0.000254368;785;0;0
0.766233766;True;log_loss;64;sqrt;44;0.010065816;0.108059948;227;0;0
0.75974026;False;log_loss;93;log2;342;0.011223415;0.134637409;199;0;0
0.75974026;True;entropy;7;log2;497;0.002232403;0.000378281;522;0;0
0.733766234;False;gini;6;;680;0.049013157;0.05007503;86;0;0
0.766233766;True;entropy;51;;668;0.05215298;0.000424216;305;0;0
0.727272727;False;log_loss;60;log2;832;0.005203395;0.001005468;400;0;0
0.753246753;False;gini;93;sqrt;21;0.000135504;0.008380854;343;0;0
0.766233766;False;entropy;48;sqrt;579;0.027626796;0.035474666;599;0;0
0.74025974;False;gini;43;sqrt;887;0.000488496;0.022909868;741;0;0
0.75974026;True;log_loss;76;;336;0.117763072;0.564384268;280;0;0
0.727272727;True;gini;66;log2;936;0.192044625;0.081789244;986;0;0
0.766233766;False;gini;43;sqrt;358;0.001074712;0.118912311;256;0;0
0.75974026;False;log_loss;10;log2;341;0.054219608;0.268031298;760;0;0
