value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.753246753;287.1614796;;685;l2;liblinear;2.61E-05;0;0
0.694805195;16.10524051;balanced;434;l1;liblinear;0.00044959;0;0
0.707792208;13.6043393;balanced;577;l1;liblinear;0.027936811;0;0
0.75974026;5.582399373;;446;l1;liblinear;0.022627756;0;0
0.694805195;7979.770824;;950;l1;saga;0.005498275;0;0
0.720779221;0.00298848;;672;l2;liblinear;0.017416409;0;0
0.753246753;21.50862268;;208;l2;liblinear;7.34E-05;0;0
0.694805195;83.90788888;balanced;415;l2;liblinear;0.000556986;0;0
0.694805195;0.065786364;balanced;697;l1;saga;0.000142849;0;0
0.675324675;170.8842293;;603;l2;saga;0.007584082;0;0
0.753246753;106.6881907;;134;l2;liblinear;0.000126558;0;0
0.694805195;1622.897411;balanced;131;l1;liblinear;0.000161746;0;0
0.753246753;24011.20557;;513;l1;liblinear;2.68E-05;0;0
0.655844156;0.00751839;balanced;684;l1;saga;1.91E-05;0;0
0.694805195;0.003819547;balanced;620;l2;liblinear;5.86E-05;0;0
0.694805195;30946.93331;balanced;231;l2;liblinear;0.001248221;0;0
0.694805195;0.412020159;balanced;757;l1;saga;0.003697555;0;0
0.694805195;156.8995888;;113;l1;saga;0.00152087;0;0
0.662337662;0.124691392;balanced;198;l1;saga;0.009969054;0;0
0.694805195;3932.279256;balanced;122;l2;liblinear;0.000167298;0;0
0.701298701;0.003071878;;369;l2;saga;0.001004524;0;0
0.720779221;29.21444551;;883;l2;saga;0.000468571;0;0
0.642857143;0.000478153;;573;l1;liblinear;1.94E-05;0;0
0.694805195;1164.082484;balanced;583;l2;saga;0.002616971;0;0
0.707792208;2297.920448;balanced;444;l2;liblinear;0.004511564;0;0
0.753246753;12057.94486;;978;l2;liblinear;0.001162381;0;0
0.753246753;409.1129686;;446;l2;liblinear;0.001806219;0;0
0.714285714;1.999973941;balanced;145;l1;liblinear;0.024441923;0;0
0.694805195;37.23049842;balanced;584;l2;liblinear;0.000458302;0;0
0.577922078;0.001442984;balanced;919;l1;saga;0.007926817;0;0
0.694805195;25704.72916;balanced;692;l2;saga;0.00325654;0;0
0.62987013;0.000733972;balanced;581;l2;saga;0.051210038;0;0
0.701298701;321.2299076;;243;l1;saga;1.86E-05;0;0
0.74025974;575.6981201;;860;l2;liblinear;0.012026125;0;0
0.753246753;94.90349572;;443;l1;liblinear;2.61E-05;0;0
0.694805195;0.001179602;balanced;874;l2;saga;3.62E-05;0;0
0.753246753;27.1670473;;591;l2;liblinear;4.62E-05;0;0
0.694805195;1293.513896;balanced;175;l2;saga;0.000253832;0;0
0.785714286;0.07161158;;774;l1;liblinear;0.000265188;0;0
0.688311688;0.002359363;;878;l1;liblinear;3.98E-05;0;0
0.701298701;259.3820815;balanced;992;l1;saga;0.000465293;0;0
0.753246753;161.9273349;;966;l1;liblinear;6.93E-05;0;0
0.642857143;0.000148982;;142;l1;liblinear;0.007992188;0;0
0.694805195;26.84675438;balanced;800;l1;liblinear;0.000355268;0;0
0.720779221;13494.31844;;601;l1;saga;0.000214856;0;0
0.707792208;5901.28648;balanced;963;l1;saga;2.90E-05;0;0
0.707792208;0.364581493;;387;l1;saga;4.76E-05;0;0
0.707792208;29.46051703;;769;l1;saga;0.000757019;0;0
0.681818182;0.600796851;;754;l2;saga;0.04837174;0;0
0.688311688;0.014610951;;192;l2;liblinear;0.059980783;0;0
0.694805195;31129.82563;balanced;505;l1;saga;0.000272118;0;0
0.62987013;1.368216324;balanced;564;l2;saga;0.080094371;0;0
0.701298701;0.011802545;balanced;959;l2;saga;0.000170136;0;0
0.688311688;0.192544111;;757;l1;saga;0.072757608;0;0
0.435064935;0.000939699;balanced;403;l1;saga;0.034020575;0;0
0.675324675;0.001913991;balanced;426;l2;saga;0.005079628;0;0
0.733766234;0.039895645;;1000;l2;liblinear;0.004815147;0;0
0.701298701;15429.57561;balanced;475;l1;liblinear;0.004355341;0;0
0.642857143;0.000287093;;457;l1;saga;1.53E-05;0;0
0.701298701;1103.867372;balanced;390;l1;saga;0.000720695;0;0
0.714285714;0.00407844;;920;l2;saga;3.79E-05;0;0
0.688311688;0.040635986;;423;l2;liblinear;0.058464512;0;0
0.655844156;0.016598456;balanced;619;l2;saga;0.023568392;0;0
0.707792208;0.002356342;;995;l2;liblinear;5.20E-05;0;0
0.649350649;0.000200249;balanced;546;l2;liblinear;0.000408375;0;0
0.772727273;0.295107481;;333;l1;liblinear;0.055313488;0;0
0.694805195;15.463032;balanced;264;l2;saga;3.39E-05;0;0
0.701298701;67.25330704;balanced;193;l2;liblinear;0.035758759;0;0
0.701298701;142.1747602;;188;l1;saga;0.00048355;0;0
0.701298701;4382.478374;balanced;800;l1;saga;0.000189031;0;0
0.753246753;2734.685217;;868;l2;liblinear;4.58E-05;0;0
0.701298701;0.341662749;balanced;893;l1;saga;6.34E-05;0;0
0.636363636;0.012986432;balanced;987;l2;saga;0.091723597;0;0
0.753246753;38699.07341;;556;l1;liblinear;0.000345063;0;0
0.714285714;1356.919253;;398;l2;saga;0.000376613;0;0
0.357142857;0.000360726;balanced;751;l1;saga;0.000233235;0;0
0.694805195;0.051971588;balanced;420;l1;saga;0.001961289;0;0
0.753246753;68.87373952;;199;l1;liblinear;0.005862832;0;0
0.688311688;0.237131685;balanced;150;l1;saga;1.15E-05;0;0
0.753246753;1.396414017;;595;l1;liblinear;0.000130463;0;0
0.701298701;118.0270461;balanced;322;l1;saga;0.001726947;0;0
0.75974026;0.920164077;;438;l2;liblinear;0.000131146;0;0
0.720779221;0.149992716;balanced;585;l1;liblinear;3.42E-05;0;0
0.707792208;56132.6537;balanced;303;l1;liblinear;0.034673392;0;0
0.714285714;0.024504911;;911;l1;liblinear;1.46E-05;0;0
0.642857143;0.000764151;;875;l1;liblinear;0.000358289;0;0
0.701298701;0.003422055;;770;l1;liblinear;0.002300742;0;0
0.727272727;0.020497122;;837;l2;liblinear;0.018954369;0;0
0.623376623;3.81E-05;balanced;932;l2;liblinear;0.007467684;0;0
0.655844156;46889.23878;balanced;681;l1;saga;0.019997284;0;0
0.753246753;8557.379849;;507;l1;liblinear;2.91E-05;0;0
0.75974026;0.148765488;;984;l1;liblinear;4.94E-05;0;0
0.694805195;0.83322716;balanced;760;l1;saga;0.002198158;0;0
0.701298701;0.912686603;;341;l1;saga;0.003515299;0;0
0.701298701;0.052044975;;981;l1;saga;0.002625422;0;0
0.701298701;24429.3411;balanced;346;l1;saga;1.18E-05;0;0
0.753246753;11.44802586;;524;l1;liblinear;0.000995013;0;0
0.707792208;1.924759823;balanced;969;l2;saga;9.58E-05;0;0
0.753246753;61.58189131;;676;l2;liblinear;0.00133261;0;0
0.688311688;2.058133268;balanced;535;l2;liblinear;0.043177775;0;0
0.642857143;9.66E-05;;201;l1;saga;0.005301645;0;0
0.701298701;0.00133733;;763;l2;saga;0.0002772;0;0
0.642857143;0.000181166;;209;l1;saga;2.77E-05;0;0
0.753246753;181.432539;;602;l1;liblinear;1.08E-05;0;0
0.714285714;2042.870904;;445;l1;saga;9.00E-05;0;0
0.642857143;3.340883338;balanced;717;l2;saga;0.031283865;0;0
0.727272727;1.189308955;;127;l2;liblinear;0.026824497;0;0
0.714285714;62.00200496;balanced;691;l2;liblinear;0.008254898;0;0
0.642857143;0.00010461;balanced;225;l1;saga;0.010158345;0;0
0.642857143;9.01E-05;balanced;377;l1;liblinear;0.000293065;0;0
0.688311688;53566.27232;;709;l2;liblinear;0.083751306;0;0
0.707792208;0.049941087;balanced;147;l1;liblinear;0.000140221;0;0
0.707792208;8.974260261;balanced;648;l2;liblinear;0.001551435;0;0
0.655844156;1.632620214;balanced;968;l1;saga;0.021684839;0;0
0.688311688;576.6234834;balanced;139;l2;saga;0.0005231;0;0
0.694805195;15651.76251;balanced;572;l1;saga;0.000267355;0;0
0.772727273;1702.325975;;446;l1;liblinear;0.041454338;0;0
0.642857143;0.000119649;balanced;707;l1;liblinear;0.010202007;0;0
0.707792208;71.06511848;;728;l2;saga;0.000750973;0;0
0.707792208;15740.33249;balanced;353;l1;liblinear;0.012249528;0;0
0.642857143;2.11E-05;balanced;737;l1;liblinear;5.61E-05;0;0
