value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.785365854;0.53514021;;545;l2;liblinear;0.000139936;0;0
0.804878049;28.82737895;balanced;537;l1;liblinear;0.055019956;0;0
0.702439024;4.820820783;balanced;965;l2;saga;0.001383772;0;0
0.692682927;2831.161166;balanced;170;l1;saga;2.77E-05;0;0
0.726829268;0.005563266;;749;l2;liblinear;0.000126088;0;0
0.643902439;0.001552061;;751;l1;saga;0.001167269;0;0
0.609756098;0.001008286;;448;l1;liblinear;0.027156402;0;0
0.692682927;0.002594855;balanced;436;l2;liblinear;0.00015802;0;0
0.702439024;167.9706027;balanced;513;l1;saga;0.001282983;0;0
0.702439024;58.34694688;balanced;224;l1;saga;0.000675938;0;0
0.63902439;1.47E-05;balanced;461;l2;liblinear;3.66E-05;0;0
0.8;11428.99551;balanced;186;l1;liblinear;4.71E-05;0;0
0.8;3688.725266;;385;l2;liblinear;0.003175611;0;0
0.8;286.9723316;balanced;196;l1;liblinear;0.000424396;0;0
0.502439024;2.04E-05;;748;l1;saga;0.000172751;0;0
0.502439024;9.93E-05;;168;l1;saga;0.006381342;0;0
0.668292683;39.02809891;;157;l1;saga;0.043858609;0;0
0.67804878;0.014294799;balanced;397;l1;saga;0.001424672;0;0
0.8;1178.050947;;146;l2;liblinear;0.00376798;0;0
0.795121951;32.79672554;;395;l2;liblinear;1.41E-05;0;0
0.756097561;6.136994605;;962;l2;saga;2.02E-05;0;0
0.673170732;20811.54502;;869;l2;saga;0.028466173;0;0
0.795121951;1447.51287;;243;l2;liblinear;0.000374177;0;0
0.8;94.74786423;balanced;284;l1;liblinear;0.000219154;0;0
0.692682927;55.35164024;;210;l1;saga;5.81E-05;0;0
0.658536585;59512.04229;balanced;257;l1;saga;0.069567671;0;0
0.668292683;0.000297026;;131;l2;saga;3.35E-05;0;0
0.809756098;9.653598773;balanced;635;l2;liblinear;0.008961208;0;0
0.653658537;4.75E-05;;571;l2;liblinear;0.004829338;0;0
