value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.935;0.00018953;balanced;959;l1;saga;2.07E-05;0;0
0.935;118.3266933;;279;l2;liblinear;0.000183991;0;0
0.935;85379.95919;;193;l1;liblinear;0.001096929;0;0
0.935;168.242597;;796;l2;saga;0.00654345;0;0
0.935;34.97548036;;275;l2;liblinear;0.001646335;0;0
0.935;0.00014358;;109;l1;saga;0.026275029;0;0
0.615;0.000654843;balanced;772;l2;saga;1.39E-05;0;0
0.605;729.4579119;balanced;141;l2;liblinear;0.001000966;0;0
0.835;0.000290831;balanced;152;l2;liblinear;0.068494569;0;0
0.935;3.646302002;;566;l1;liblinear;0.016406761;0;0
0.845;0.382885481;balanced;716;l2;saga;0.015324057;0;0
0.605;28.00169139;balanced;696;l2;saga;4.70E-05;0;0
0.655;5573.960778;balanced;461;l2;saga;0.000278829;0;0
0.935;3.14E-05;;901;l2;liblinear;6.81E-05;0;0
0.65;0.00220114;balanced;703;l2;liblinear;0.015635458;0;0
0.935;1.36E-05;;335;l2;saga;0.000461043;0;0
0.605;24664.04846;balanced;179;l1;liblinear;0.000257858;0;0
0.605;72.97510996;balanced;294;l2;liblinear;0.001473914;0;0
0.625;6.37523268;balanced;891;l1;liblinear;0.029966026;0;0
0.935;1053.303385;;477;l1;liblinear;3.61E-05;0;0
0.935;753.9468663;;313;l1;liblinear;1.12E-05;0;0
0.605;24641.53042;balanced;555;l1;liblinear;0.00137506;0;0
0.935;17268.73309;;972;l2;saga;0.01418039;0;0
0.935;332.4901173;;572;l1;saga;0.057056584;0;0
0.935;0.000197344;balanced;865;l1;liblinear;8.06E-05;0;0
0.93;1.02E-05;balanced;719;l2;liblinear;0.030279551;0;0
0.935;0.021819883;;798;l2;liblinear;5.28E-05;0;0
0.065;0.000589465;balanced;244;l1;saga;0.000344723;0;0
0.935;10505.15235;;719;l2;liblinear;8.07E-05;0;0
0.935;1407.45828;;741;l1;saga;6.79E-05;0;0
0.935;1.58840525;;787;l2;liblinear;2.26E-05;0;0
0.935;8.93E-05;;855;l1;saga;0.000904599;0;0
0.935;0.098036355;;487;l2;liblinear;4.10E-05;0;0
0.655;6947.369373;balanced;494;l2;saga;7.58E-05;0;0
0.935;0.000148909;;557;l2;liblinear;0.037872197;0;0
0.615;20725.65035;balanced;210;l2;liblinear;0.018038866;0;0
0.935;0.000984755;balanced;878;l1;liblinear;0.034144302;0;0
0.935;3.557218082;;461;l1;liblinear;8.68E-05;0;0
0.72;608.5102826;balanced;272;l1;saga;0.000173904;0;0
0.935;0.010315196;;649;l2;saga;0.000760023;0;0
0.935;7.76345442;;826;l2;liblinear;0.000121232;0;0
0.935;795.0323782;;844;l1;liblinear;0.071825136;0;0
0.935;0.194550405;;491;l1;liblinear;0.04153994;0;0
0.605;440.0128702;balanced;460;l2;liblinear;0.000674048;0;0
0.935;3.07690258;;206;l2;saga;4.91E-05;0;0
0.935;2547.077086;;763;l2;liblinear;0.000243819;0;0
0.935;0.293865327;;887;l1;liblinear;0.001274978;0;0
0.935;9.31E-05;balanced;565;l1;saga;0.062038054;0;0
0.935;5.72E-05;;141;l1;liblinear;0.003051986;0;0
0.935;48.95084684;;967;l1;liblinear;0.09658397;0;0
0.935;63.79533924;;239;l2;liblinear;0.00049287;0;0
0.935;66915.38511;;566;l1;saga;0.011838097;0;0
0.74;1.642258242;balanced;360;l1;saga;0.004934293;0;0
0.615;9.044777327;balanced;484;l1;liblinear;2.11E-05;0;0
0.565;0.236971396;balanced;538;l2;liblinear;0.054900329;0;0
0.665;1.370256513;balanced;393;l1;saga;0.000156978;0;0
0.935;395.6069084;;351;l2;liblinear;3.49E-05;0;0
0.555;0.09063455;balanced;466;l2;liblinear;0.002456492;0;0
0.615;142.092101;balanced;682;l1;saga;8.80E-05;0;0
0.835;0.000239847;balanced;414;l2;liblinear;8.29E-05;0;0
0.65;132.6843868;balanced;548;l2;saga;0.000631063;0;0
0.65;4.775391965;balanced;510;l1;saga;3.06E-05;0;0
0.935;80072.01417;;534;l1;liblinear;2.11E-05;0;0
0.935;0.862890891;;502;l2;liblinear;0.000385076;0;0
0.605;6012.759394;balanced;348;l1;liblinear;0.001091156;0;0
0.935;1.009196322;;468;l2;liblinear;0.030844767;0;0
0.935;4.650838264;;938;l1;saga;0.009671533;0;0
0.89;1.97E-05;balanced;828;l2;saga;0.000336833;0;0
0.935;0.000551032;;147;l2;saga;0.000840153;0;0
0.935;0.10140916;;124;l2;saga;0.015394836;0;0
0.935;93279.62433;;220;l1;liblinear;0.091855363;0;0
0.935;1.363688173;;628;l2;saga;8.23E-05;0;0
0.65;32370.52594;balanced;538;l1;saga;0.000750366;0;0
0.935;0.020868875;;244;l2;liblinear;0.022096239;0;0
0.935;0.000281598;;106;l2;saga;0.049902921;0;0
0.935;13.10355116;;914;l2;saga;0.000157512;0;0
0.935;19.8801653;;898;l1;liblinear;0.00010742;0;0
0.635;0.010971687;balanced;626;l2;saga;0.000330014;0;0
0.605;94.94844515;balanced;891;l1;liblinear;0.009093757;0;0
0.935;4.73E-05;;613;l1;liblinear;0.000110025;0;0
0.67;83193.79375;balanced;405;l1;saga;0.000489828;0;0
0.935;0.007066179;balanced;674;l1;liblinear;1.56E-05;0;0
0.605;8307.830381;balanced;837;l2;liblinear;2.05E-05;0;0
0.935;0.000193153;;352;l2;saga;0.002020519;0;0
0.935;0.000423469;balanced;316;l1;saga;0.026245395;0;0
0.83;25957.3908;balanced;808;l2;saga;0.011403221;0;0
0.935;0.000826204;;822;l1;liblinear;0.01857756;0;0
0.935;0.010595468;balanced;345;l1;liblinear;4.58E-05;0;0
0.935;12.33960567;;533;l2;liblinear;5.07E-05;0;0
0.65;0.180455765;balanced;565;l2;saga;0.001591773;0;0
0.905;0.110929451;balanced;910;l1;saga;0.045316205;0;0
0.85;1.707856762;balanced;673;l2;saga;0.016279463;0;0
0.935;47726.26815;;493;l2;saga;0.005125293;0;0
0.625;1.658922208;balanced;330;l2;liblinear;0.015417889;0;0
0.72;4739.689683;balanced;271;l2;saga;0.000504946;0;0
0.76;0.555981894;balanced;211;l1;saga;0.006603799;0;0
0.935;6.67E-05;;549;l1;saga;0.056412449;0;0
0.935;0.423564979;;299;l1;saga;4.32E-05;0;0
0.935;20.55649591;;692;l1;liblinear;0.000302271;0;0
0.935;0.001197002;;183;l2;liblinear;0.001354751;0;0
0.935;0.001579647;;286;l1;saga;1.64E-05;0;0
0.75;21.98314184;balanced;228;l1;saga;0.005630791;0;0
0.935;0.000124077;balanced;894;l1;saga;7.44E-05;0;0
0.935;330.2692336;;271;l2;liblinear;0.007217281;0;0
0.935;2.486271895;;328;l2;liblinear;0.021545625;0;0
0.935;0.002361136;;284;l1;saga;0.000440429;0;0
0.835;0.174849071;balanced;818;l2;saga;0.010181599;0;0
0.61;6190.342308;balanced;869;l1;liblinear;0.015742829;0;0
0.655;1.904297947;balanced;446;l1;liblinear;0.086126606;0;0
0.935;94.06359491;;197;l1;saga;1.74E-05;0;0
0.935;1775.438706;;240;l2;liblinear;0.000190925;0;0
0.56;0.073130539;balanced;753;l2;liblinear;8.69E-05;0;0
0.935;0.000119281;;789;l1;saga;0.000143857;0;0
0.74;39.70822067;balanced;251;l1;saga;0.00019091;0;0
0.935;99268.58695;;432;l2;liblinear;0.004060399;0;0
0.895;4.31E-05;balanced;271;l2;liblinear;0.000578658;0;0
0.935;3593.091104;;179;l1;liblinear;0.000321435;0;0
0.645;0.193499331;balanced;105;l1;liblinear;0.003387697;0;0
0.58;0.00488631;balanced;957;l2;saga;1.13E-05;0;0
0.605;4079.794626;balanced;887;l2;liblinear;0.000335415;0;0
0.935;257.0568695;;196;l2;liblinear;0.001666424;0;0
0.83;12449.02418;balanced;975;l1;saga;0.011215972;0;0
0.935;0.003971793;;180;l2;saga;0.09511568;0;0
0.935;1.168258933;;306;l2;saga;0.000450665;0;0
0.655;1.314185739;balanced;450;l1;liblinear;0.008248872;0;0
0.635;54322.68476;balanced;642;l2;saga;0.000444896;0;0
0.935;4.946169281;;548;l2;liblinear;0.009580952;0;0
0.935;27372.01584;;785;l2;saga;0.000490301;0;0
0.835;0.006617431;balanced;241;l2;saga;0.011862413;0;0
0.81;117.1882547;balanced;114;l2;saga;0.005973155;0;0
0.82;0.529859986;balanced;101;l2;saga;0.004734865;0;0
0.935;4.531179733;;100;l1;saga;0.011628708;0;0
0.935;0.00938114;;346;l1;saga;0.001680826;0;0
0.935;57159.57104;;407;l2;liblinear;8.16E-05;0;0
0.825;0.000826297;balanced;596;l2;saga;0.006885052;0;0
0.935;0.046728277;balanced;571;l1;liblinear;6.47E-05;0;0
0.935;17.81049768;;971;l2;liblinear;0.085481094;0;0
0.935;0.339616088;;885;l2;saga;0.007931031;0;0
0.935;0.009928462;;871;l1;liblinear;1.45E-05;0;0
0.935;0.011522516;;259;l1;saga;4.08E-05;0;0
0.93;1.21E-05;balanced;695;l2;liblinear;0.073368516;0;0
0.935;0.006381477;;416;l1;liblinear;0.000819052;0;0
0.935;280.1332156;;217;l1;liblinear;0.000192654;0;0
0.935;3.219508647;;674;l1;liblinear;0.000374537;0;0
0.625;1.942494783;balanced;641;l1;saga;8.97E-05;0;0
0.935;0.000156602;;214;l2;liblinear;0.070933843;0;0
0.755;0.001916579;balanced;346;l2;saga;0.004952602;0;0
0.935;0.000167374;balanced;274;l1;saga;0.00012115;0;0
0.935;0.006602069;balanced;306;l1;liblinear;2.82E-05;0;0
0.88;0.000119849;balanced;535;l2;liblinear;1.22E-05;0;0
0.935;0.06325202;;951;l1;liblinear;0.000503637;0;0
0.935;0.00089642;balanced;945;l1;liblinear;0.000258669;0;0
0.575;91.82172644;balanced;975;l2;saga;0.001068647;0;0
0.935;6.93E-05;;509;l2;liblinear;0.016289624;0;0
0.625;5.674834819;balanced;820;l1;liblinear;0.000505139;0;0
0.935;2.64E-05;balanced;718;l1;liblinear;6.98E-05;0;0
0.9;0.008116815;balanced;117;l2;saga;0.098058557;0;0
0.665;3852.523979;balanced;439;l1;saga;7.48E-05;0;0
0.935;0.013353837;;225;l2;saga;0.011879493;0;0
0.69;9.490024965;balanced;324;l1;saga;4.35E-05;0;0
0.88;67.2296814;balanced;185;l2;saga;0.024607662;0;0
0.935;2.757048631;;769;l1;liblinear;0.000885607;0;0
0.935;0.241167495;;667;l1;saga;0.060201037;0;0
0.765;0.00013932;balanced;781;l2;saga;2.53E-05;0;0
0.72;0.927849719;balanced;286;l2;saga;0.00289728;0;0
0.935;108.6155274;;389;l2;saga;0.004794901;0;0
0.935;1.62E-05;balanced;586;l1;saga;0.028256943;0;0
0.57;0.497094907;balanced;803;l1;liblinear;2.40E-05;0;0
0.605;26.06930297;balanced;713;l1;liblinear;3.50E-05;0;0
0.935;10.98704194;;167;l2;saga;0.000311307;0;0
0.605;60278.80527;balanced;269;l1;liblinear;1.37E-05;0;0
0.935;34.12701619;;906;l2;saga;4.05E-05;0;0
0.935;201.3970303;;667;l2;liblinear;0.00014644;0;0
0.935;18267.63478;;281;l2;liblinear;0.007037797;0;0
0.935;0.010029604;;551;l2;saga;0.029657327;0;0
0.67;0.001608875;balanced;114;l2;liblinear;2.72E-05;0;0
0.93;1.31E-05;balanced;167;l2;liblinear;6.04E-05;0;0
0.605;1627.032466;balanced;817;l2;liblinear;0.000575843;0;0
0.935;0.028910544;;959;l1;saga;0.009163004;0;0
0.935;5884.773744;;531;l2;saga;0.004527914;0;0
0.835;0.033483624;balanced;949;l2;saga;0.012615538;0;0
0.925;0.02247668;balanced;295;l1;saga;0.021140878;0;0
0.935;0.000158924;balanced;240;l1;saga;0.000167443;0;0
0.64;12.41600046;balanced;608;l2;saga;0.001206731;0;0
0.935;0.031678091;;475;l1;saga;0.002617799;0;0
0.935;0.000776394;balanced;616;l1;liblinear;0.00028522;0;0
0.635;11831.86303;balanced;631;l1;saga;0.000225957;0;0
0.935;2252.399175;;993;l1;liblinear;2.00E-05;0;0
0.935;4.19103242;;165;l1;liblinear;0.000673878;0;0
0.605;1886.453424;balanced;936;l2;liblinear;2.61E-05;0;0
0.935;0.001234519;;584;l2;saga;0.001763563;0;0
0.935;1802.646828;;755;l2;liblinear;0.001193063;0;0
0.615;2.304771788;balanced;764;l2;liblinear;0.003363969;0;0
0.605;77.04299528;balanced;920;l1;liblinear;5.80E-05;0;0
0.935;0.001166404;;790;l1;liblinear;0.000330575;0;0
0.935;5060.521112;;987;l1;liblinear;5.71E-05;0;0
