value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.895;identity;0.070927824;45;constant;287;adam;0;0
0.935;tanh;0.013068818;26;constant;695;sgd;0;0
0.935;identity;0.002326592;98;constant;665;adam;0;0
0.935;identity;0.000109005;50;constant;265;sgd;0;0
0.935;logistic;0.000108302;42;invscaling;711;adam;0;0
0.935;relu;0.011535596;43;adaptive;649;sgd;0;0
0.93;logistic;0.000551042;20;constant;785;lbfgs;0;0
0.935;relu;0.000225035;19;adaptive;509;adam;0;0
0.935;relu;0.025645412;67;constant;530;sgd;0;0
0.935;relu;7.20E-05;65;constant;864;lbfgs;0;0
0.935;tanh;0.005284087;74;constant;232;lbfgs;0;0
0.935;identity;0.00806957;31;adaptive;464;adam;0;0
0.935;relu;0.007241239;41;constant;526;lbfgs;0;0
0.935;relu;0.054543029;18;adaptive;428;adam;0;0
0.935;relu;0.000366387;26;constant;976;adam;0;0
0.935;logistic;0.000639082;41;adaptive;815;sgd;0;0
0.935;logistic;0.009428588;90;constant;315;lbfgs;0;0
0.935;identity;0.069950082;93;adaptive;715;adam;0;0
0.935;identity;0.000141251;100;adaptive;147;lbfgs;0;0
0.935;identity;2.18E-05;55;constant;301;sgd;0;0
0.935;logistic;0.000125574;38;constant;787;adam;0;0
0.935;identity;0.000212144;98;adaptive;872;lbfgs;0;0
0.935;relu;7.64E-05;69;invscaling;274;lbfgs;0;0
0.935;identity;0.001876852;15;constant;664;adam;0;0
0.935;tanh;0.01049882;53;adaptive;445;sgd;0;0
0.935;relu;0.069243155;78;adaptive;703;lbfgs;0;0
0.935;relu;3.20E-05;53;adaptive;389;adam;0;0
0.935;logistic;0.003972157;24;adaptive;661;adam;0;0
0.935;relu;0.002625586;71;constant;411;sgd;0;0
0.935;tanh;0.024261657;41;constant;594;sgd;0;0
0.935;tanh;0.001072153;80;constant;224;lbfgs;0;0
0.935;relu;4.69E-05;6;constant;980;sgd;0;0
0.935;tanh;1.16E-05;34;adaptive;515;lbfgs;0;0
0.935;relu;0.000220848;53;constant;907;adam;0;0
0.935;relu;0.000206418;30;adaptive;815;adam;0;0
0.935;relu;0.006049852;22;invscaling;311;lbfgs;0;0
0.935;logistic;0.001149282;71;adaptive;582;lbfgs;0;0
0.93;tanh;0.001987312;80;constant;233;sgd;0;0
0.935;tanh;2.59E-05;85;constant;240;lbfgs;0;0
0.935;identity;0.08670881;95;constant;366;sgd;0;0
0.935;tanh;0.008741585;11;constant;847;sgd;0;0
0.935;logistic;0.014290946;54;constant;326;adam;0;0
0.935;relu;1.94E-05;85;invscaling;684;adam;0;0
0.935;logistic;0.011531071;59;constant;999;lbfgs;0;0
0.935;identity;0.001133105;16;invscaling;591;sgd;0;0
0.935;relu;0.000510933;96;invscaling;834;lbfgs;0;0
0.935;identity;1.05E-05;78;adaptive;707;sgd;0;0
0.935;identity;0.035126933;9;adaptive;383;adam;0;0
0.935;relu;0.002242665;5;adaptive;337;adam;0;0
0.935;tanh;0.000110282;52;invscaling;684;adam;0;0
0.935;relu;7.87E-05;4;invscaling;315;sgd;0;0
0.935;tanh;0.002735928;30;constant;416;sgd;0;0
0.935;identity;0.000128325;30;constant;695;adam;0;0
0.935;logistic;0.006903744;53;adaptive;401;adam;0;0
0.935;tanh;2.12E-05;78;constant;119;sgd;0;0
0.935;identity;0.000238266;65;invscaling;763;lbfgs;0;0
0.935;identity;0.010330015;13;adaptive;804;lbfgs;0;0
0.935;identity;5.89E-05;97;adaptive;674;adam;0;0
0.935;logistic;0.007499668;17;constant;817;sgd;0;0
0.935;tanh;0.035852985;18;adaptive;511;sgd;0;0
0.935;logistic;0.090845348;36;invscaling;183;sgd;0;0
0.93;tanh;0.000690135;57;constant;528;sgd;0;0
0.935;identity;1.14E-05;92;invscaling;266;sgd;0;0
0.935;tanh;0.002352729;12;invscaling;969;adam;0;0
0.935;logistic;0.054096836;93;invscaling;743;adam;0;0
0.935;tanh;0.000275528;2;invscaling;814;adam;0;0
0.935;relu;0.005334783;37;invscaling;322;sgd;0;0
0.935;tanh;0.0002935;54;invscaling;771;lbfgs;0;0
0.935;relu;2.37E-05;47;adaptive;176;sgd;0;0
0.895;identity;3.42E-05;17;invscaling;940;sgd;0;0
0.935;identity;0.000337217;56;invscaling;832;adam;0;0
0.88;identity;2.32E-05;14;invscaling;705;sgd;0;0
0.935;tanh;1.97E-05;68;invscaling;130;adam;0;0
0.935;relu;0.00080673;42;invscaling;227;lbfgs;0;0
0.935;logistic;0.001614957;71;invscaling;318;adam;0;0
0.935;logistic;0.000284623;69;constant;303;adam;0;0
0.935;logistic;0.001040379;1;constant;648;sgd;0;0
0.935;logistic;3.09E-05;15;constant;644;lbfgs;0;0
0.935;tanh;0.000121833;73;adaptive;769;adam;0;0
0.935;relu;3.12E-05;23;adaptive;417;lbfgs;0;0
0.935;logistic;1.55E-05;57;constant;767;sgd;0;0
0.935;tanh;0.000214252;7;adaptive;191;lbfgs;0;0
0.935;relu;0.003086122;9;adaptive;942;sgd;0;0
0.935;tanh;3.56E-05;35;invscaling;786;lbfgs;0;0
0.92;tanh;2.80E-05;47;invscaling;894;lbfgs;0;0
0.935;relu;0.000180387;7;adaptive;630;sgd;0;0
0.935;relu;0.011040179;2;invscaling;420;lbfgs;0;0
0.935;tanh;0.034429999;22;adaptive;793;lbfgs;0;0
0.935;relu;0.043723978;11;adaptive;318;lbfgs;0;0
0.935;tanh;0.001531299;75;constant;901;adam;0;0
0.935;identity;1.09E-05;81;adaptive;594;lbfgs;0;0
0.935;identity;3.67E-05;73;constant;746;adam;0;0
0.935;logistic;0.008537607;62;adaptive;957;lbfgs;0;0
0.935;relu;0.00215836;55;constant;355;adam;0;0
0.935;identity;5.16E-05;40;invscaling;443;sgd;0;0
0.935;relu;0.002728387;100;constant;974;sgd;0;0
0.935;logistic;0.004855388;33;invscaling;411;sgd;0;0
0.935;identity;3.02E-05;22;adaptive;658;lbfgs;0;0
0.935;identity;0.00112643;9;adaptive;798;adam;0;0
0.935;identity;0.00200166;64;adaptive;798;adam;0;0
0.935;identity;5.69E-05;27;adaptive;246;lbfgs;0;0
0.935;logistic;0.003517872;16;constant;306;sgd;0;0
0.935;tanh;0.00051551;15;adaptive;691;adam;0;0
0.935;identity;0.001156115;23;adaptive;838;adam;0;0
0.935;relu;0.024993342;51;constant;868;sgd;0;0
0.935;logistic;1.87E-05;39;constant;366;adam;0;0
0.935;identity;0.006256431;70;invscaling;188;adam;0;0
0.935;identity;0.016107756;49;adaptive;797;adam;0;0
0.93;tanh;0.00065811;43;adaptive;201;lbfgs;0;0
0.925;tanh;0.05526857;28;adaptive;316;sgd;0;0
0.935;identity;3.14E-05;71;invscaling;801;sgd;0;0
0.935;relu;0.00251108;99;invscaling;355;adam;0;0
0.935;identity;3.17E-05;12;adaptive;477;lbfgs;0;0
0.935;relu;0.000491493;50;invscaling;692;sgd;0;0
0.935;identity;0.000118373;19;invscaling;864;lbfgs;0;0
0.935;tanh;0.000877166;19;constant;278;lbfgs;0;0
0.935;identity;0.000198545;39;adaptive;487;lbfgs;0;0
0.935;identity;5.30E-05;38;constant;486;sgd;0;0
0.935;tanh;0.000700529;34;invscaling;319;lbfgs;0;0
0.92;logistic;1.66E-05;54;invscaling;963;lbfgs;0;0
0.935;identity;0.012616368;11;invscaling;634;lbfgs;0;0
0.935;identity;2.10E-05;7;invscaling;263;adam;0;0
0.935;identity;4.50E-05;20;invscaling;459;adam;0;0
0.935;identity;0.001319453;67;invscaling;481;sgd;0;0
0.935;relu;0.007617535;44;invscaling;895;lbfgs;0;0
0.935;tanh;1.53E-05;22;adaptive;328;adam;0;0
0.935;logistic;0.004957636;56;invscaling;936;sgd;0;0
0.935;identity;0.000253998;81;invscaling;779;lbfgs;0;0
0.935;logistic;0.03909229;23;adaptive;543;adam;0;0
0.935;tanh;0.033016795;28;adaptive;325;adam;0;0
0.935;logistic;0.006138535;77;constant;595;adam;0;0
0.935;relu;7.80E-05;57;constant;311;sgd;0;0
0.935;relu;0.00808468;59;adaptive;657;sgd;0;0
0.935;tanh;0.070995095;68;constant;365;adam;0;0
0.935;relu;0.000678958;71;adaptive;216;adam;0;0
0.935;relu;0.002924107;88;adaptive;338;sgd;0;0
0.935;tanh;4.13E-05;23;adaptive;429;adam;0;0
0.81;relu;2.95E-05;42;invscaling;839;sgd;0;0
