value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.532467532;logistic;0.000869746;37;constant;615;lbfgs;0;0
0.753246753;identity;1.56E-05;48;constant;298;lbfgs;0;0
0.642857143;logistic;0.012696634;98;invscaling;390;sgd;0;0
0.714285714;logistic;0.008057955;30;adaptive;414;lbfgs;0;0
0.74025974;relu;0.003049818;44;adaptive;539;sgd;0;0
0.655844156;relu;0.001798884;81;invscaling;326;sgd;0;0
0.642857143;tanh;2.69E-05;4;invscaling;648;adam;0;0
0.668831169;relu;1.22E-05;44;invscaling;295;adam;0;0
0.675324675;tanh;1.08E-05;63;constant;561;sgd;0;0
0.668831169;logistic;0.04751544;97;constant;352;adam;0;0
0.681818182;identity;1.39E-05;11;constant;113;sgd;0;0
0.753246753;identity;0.000261255;10;constant;853;lbfgs;0;0
0.62987013;identity;0.0008045;23;constant;950;sgd;0;0
0.714285714;logistic;0.058058949;14;constant;746;lbfgs;0;0
0.707792208;identity;4.96E-05;68;adaptive;582;adam;0;0
0.662337662;tanh;0.036647452;43;constant;424;sgd;0;0
0.720779221;identity;0.000152195;73;adaptive;391;adam;0;0
0.694805195;relu;0.000208379;87;adaptive;353;sgd;0;0
0.753246753;identity;0.017348581;29;constant;685;lbfgs;0;0
0.675324675;identity;0.002422083;75;constant;378;sgd;0;0
0.642857143;tanh;0.093544583;73;invscaling;648;lbfgs;0;0
0.649350649;tanh;0.000531306;42;adaptive;954;adam;0;0
0.62987013;tanh;0.015657582;71;invscaling;964;lbfgs;0;0
0.753246753;relu;0.004715586;9;adaptive;809;lbfgs;0;0
0.694805195;tanh;0.000959709;91;adaptive;664;sgd;0;0
0.688311688;logistic;0.000458665;7;invscaling;286;adam;0;0
0.694805195;identity;0.017197061;21;adaptive;969;adam;0;0
0.681818182;tanh;6.79E-05;7;adaptive;894;lbfgs;0;0
0.662337662;identity;7.34E-05;73;invscaling;865;sgd;0;0
0.688311688;relu;7.28E-05;70;invscaling;332;sgd;0;0
0.675324675;logistic;2.52E-05;71;adaptive;774;sgd;0;0
0.753246753;identity;2.22E-05;46;constant;697;lbfgs;0;0
0.694805195;relu;0.000164293;19;constant;730;adam;0;0
0.727272727;identity;0.000362958;35;invscaling;207;adam;0;0
0.720779221;logistic;0.000112095;31;invscaling;964;adam;0;0
0.688311688;logistic;0.028113048;32;invscaling;213;adam;0;0
0.636363636;logistic;0.029661838;44;invscaling;917;sgd;0;0
0.753246753;identity;0.007346362;29;adaptive;197;lbfgs;0;0
0.688311688;logistic;1.05E-05;96;invscaling;673;adam;0;0
0.753246753;identity;0.000882719;38;adaptive;667;lbfgs;0;0
0.714285714;identity;1.77E-05;66;adaptive;477;sgd;0;0
0.694805195;relu;0.088395123;80;invscaling;534;lbfgs;0;0
0.649350649;tanh;0.001349256;7;adaptive;528;adam;0;0
0.746753247;relu;6.75E-05;61;constant;314;sgd;0;0
0.720779221;tanh;0.000841457;6;adaptive;618;lbfgs;0;0
